"COUNTY","DATE","POPULATION","CUMDEATHS","NEWDEATHS","Online_Only","Hybrid","On_Premises","major_teaching","major_teaching_prop","Population.density","NCHS.Urban.Rural.Status","major_opendate","opendate_prop"
"ADAMS",2020-08-06,27960,2,0,0,1,0,"Hybrid",1,47.44,"Noncore","2020-08-19",0.812700964630225
"ADAMS",2020-08-07,27960,2,0,0,1,0,"Hybrid",1,47.44,"Noncore","2020-08-19",0.812700964630225
"ADAMS",2020-08-08,27960,2,0,0,1,0,"Hybrid",1,47.44,"Noncore","2020-08-19",0.812700964630225
"ADAMS",2020-08-09,27960,2,0,0,1,0,"Hybrid",1,47.44,"Noncore","2020-08-19",0.812700964630225
"ADAMS",2020-08-10,27960,2,0,0,1,0,"Hybrid",1,47.44,"Noncore","2020-08-19",0.812700964630225
"ADAMS",2020-08-11,27960,2,0,0,1,0,"Hybrid",1,47.44,"Noncore","2020-08-19",0.812700964630225
"ADAMS",2020-08-12,27960,2,0,0,1,0,"Hybrid",1,47.44,"Noncore","2020-08-19",0.812700964630225
"ADAMS",2020-08-13,27960,2,0,0,1,0,"Hybrid",1,47.44,"Noncore","2020-08-19",0.812700964630225
"ADAMS",2020-08-14,27960,3,1,0,1,0,"Hybrid",1,47.44,"Noncore","2020-08-19",0.812700964630225
"ADAMS",2020-08-15,27960,3,0,0,1,0,"Hybrid",1,47.44,"Noncore","2020-08-19",0.812700964630225
"ADAMS",2020-08-16,27960,3,0,0,1,0,"Hybrid",1,47.44,"Noncore","2020-08-19",0.812700964630225
"ADAMS",2020-08-17,27960,3,0,0,1,0,"Hybrid",1,47.44,"Noncore","2020-08-19",0.812700964630225
"ADAMS",2020-08-18,27960,3,0,0,1,0,"Hybrid",1,47.44,"Noncore","2020-08-19",0.812700964630225
"ADAMS",2020-08-19,27960,3,0,0,1,0,"Hybrid",1,47.44,"Noncore","2020-08-19",0.812700964630225
"ADAMS",2020-08-20,27960,3,0,0,1,0,"Hybrid",1,47.44,"Noncore","2020-08-19",0.812700964630225
"ADAMS",2020-08-21,27960,3,0,0,1,0,"Hybrid",1,47.44,"Noncore","2020-08-19",0.812700964630225
"ADAMS",2020-08-22,27960,3,0,0,1,0,"Hybrid",1,47.44,"Noncore","2020-08-19",0.812700964630225
"ADAMS",2020-08-23,27960,3,0,0,1,0,"Hybrid",1,47.44,"Noncore","2020-08-19",0.812700964630225
"ADAMS",2020-08-24,27960,4,1,0,1,0,"Hybrid",1,47.44,"Noncore","2020-08-19",0.812700964630225
"ADAMS",2020-08-25,27960,4,0,0,1,0,"Hybrid",1,47.44,"Noncore","2020-08-19",0.812700964630225
"ADAMS",2020-08-26,27960,4,0,0,1,0,"Hybrid",1,47.44,"Noncore","2020-08-19",0.812700964630225
"ADAMS",2020-08-27,27960,4,0,0,1,0,"Hybrid",1,47.44,"Noncore","2020-08-19",0.812700964630225
"ADAMS",2020-08-28,27960,4,0,0,1,0,"Hybrid",1,47.44,"Noncore","2020-08-19",0.812700964630225
