"","COUNTY","time_value","work_prop_7d","work_std","work_sample_size"
"193","CRAWFORD",2020-01-24,0.086911566090875,0.0028566974502991,336
"194","CUYAHOGA",2020-01-24,0.085881083123143,0.00065315237334331,8107
"195","DARKE",2020-01-24,0.11251474764507,0.0033571995755452,364
"196","DEFIANCE",2020-01-24,0.093252803663897,0.0035087845205901,252
"197","DELAWARE",2020-01-24,0.13029071440999,0.0026808336587117,616
"198","ERIE",2020-01-24,0.091055788235531,0.0025748438151233,483
"199","FAIRFIELD",2020-01-24,0.10374671600415,0.0021631296610657,651
"200","FAYETTE",2020-01-24,0.093029644546687,0.0039254648031802,182
"201","FRANKLIN",2020-01-24,0.090664671176727,0.0007515397139623,6195
"202","FULTON",2020-01-24,0.11118365230476,0.0040596210816138,217
"203","GALLIA",2020-01-24,0.10192402815838,0.0041866942203698,175
"204","GEAUGA",2020-01-24,0.11152601506775,0.0032183785266983,447
"205","GREENE",2020-01-24,0.1040821414793,0.0021180909810592,783
"206","GUERNSEY",2020-01-24,0.089543431947696,0.0032034512085263,245
"207","HAMILTON",2020-01-24,0.096933077221718,0.00088306357471891,4879
"208","HANCOCK",2020-01-24,0.10866550723652,0.0029793178005006,434
"209","HARDIN",2020-01-24,0.08289223653343,0.0035166880543596,196
"210","HARRISON",2020-01-24,0.080149713288061,0.0047760239338475,119
"211","HENRY",2020-01-24,0.10464541089715,0.0044468850216132,189
"212","HIGHLAND",2020-01-24,0.098544214531753,0.0035618526680851,245
"213","HOCKING",2020-01-24,0.089793072773772,0.0040172499555383,161
"214","HOLMES",2020-01-24,0.11131488390578,0.0048069927555296,161
"215","HURON",2020-01-24,0.082771975977225,0.002805056990912,336
"216","JACKSON",2020-01-24,0.098885383893066,0.0041781174553653,210
"217","JEFFERSON",2020-01-24,0.079468989716972,0.0025784704368226,469
"218","KNOX",2020-01-24,0.098729754739653,0.003304598913336,322
"219","LAKE",2020-01-24,0.10737559880853,0.001885709181993,1084
"220","LAWRENCE",2020-01-24,0.10365303725694,0.0030077727633553,399
"221","LICKING",2020-01-24,0.10540730703051,0.002189957202812,784
"222","LOGAN",2020-01-24,0.10477451750239,0.003448786959707,273
"223","LORAIN",2020-01-24,0.087921755864424,0.0014674862030269,1414
"224","LUCAS",2020-01-24,0.08813273914179,0.0011140105230583,2776
"225","MADISON",2020-01-24,0.10929139952641,0.0039231279116133,196
"226","MAHONING",2020-01-24,0.083937724205252,0.0014050317542635,1512
"227","MARION",2020-01-24,0.087561193973159,0.0027464295145844,392
"228","MEDINA",2020-01-24,0.10993258123228,0.0020999469055452,770
"229","MEIGS",2020-01-24,0.092732794487359,0.0045436229626886,161
"230","MERCER",2020-01-24,0.10648719264069,0.0039075118791611,231
"231","MIAMI",2020-01-24,0.10189728523362,0.0024122533944873,602
"232","MONROE",2020-01-24,0.07982955144862,0.0053916478129172,112
"233","MONTGOMERY",2020-01-24,0.088663418218431,0.001012277071358,2919
"234","MORGAN",2020-01-24,0.079782387958129,0.0057588374677186,105
"235","MORROW",2020-01-24,0.094333440806553,0.0036137941599061,161
"236","MUSKINGUM",2020-01-24,0.098988165002294,0.0025560518989972,525
